id,simplified,traditional,pinyin,jyutping,english,mandarin_rank,cantonese_rank,examples,hsk_level
121579990262683329,热,熱,rè,jit6,to warm up; to heat up,938,,[],1
329087616813198729,人,人,rén,jan4,person; people,19,,[],1
826915374456809638,认识,認識,rèn shi,jing6 sik1,to know; to recognize,463,,[],1
126761394932531482,认真,認真,rèn zhēn,jing6 zan1,conscientious; earnest,1020,,[],1
97135202415286003,日,日,Rì,jat6,"abbr. for 本, Japan",395,,[],1
824138506676813475,日期,日期,rì qī,jat6 kei4,date,3928,,[],1
465444205003547421,肉,肉,ròu,juk6,meat; flesh,1215,,[],1
332662768951591768,三,三,Sān,saam1,surname San,233,,[],1
63693494735945360,山,山,Shān,saan1,surname Shan,1030,,[],1
1077939164804080586,商场,商場,shāng chǎng,soeng1 coeng4,shopping mall; shopping center,4093,,[],1
594192858230476669,商店,商店,shāng diàn,soeng1 dim3,store; shop,3479,,[],1
834992117899943839,上,上,shǎng,soeng6,used in 上声,29,,[],1
205016452553610862,上班,上班,shàng bān,soeng5 baan1,to go to work; to be on duty,1495,,[],1
19925889632496823,上边,上邊,shàng bian,soeng6 bin1,the top; above,14760,,[],1
182219973380478434,上车,上車,shàng chē,soeng6 ce1,"to get on or into (a bus, train, car etc)",5091,,[],1
144807808055094212,上次,上次,shàng cì,soeng6 ci3,last time,2829,,[],1
94370437403355141,上课,上課,shàng kè,soeng6 fo3,to go to class; to attend class,3042,,[],1
241367599636521838,上网,上網,shàng wǎng,soeng6 mong5,to go online; to connect to the Internet,4061,,[],1
1018181724101067891,上午,上午,shàng wǔ,soeng6 ng5,morning,2188,,[],1
799633658592723065,上学,上學,shàng xué,soeng6 hok6,to go to school; to attend school,2965,,[],1
